player_id,player_name,n_press,n_rows,participation_total,participation_per_press,participation_rank,distance_total,distance_per_press,distance_rank,check_total,check_per_press,check_rank,position
1586746e-cebb-583e-a668-5f66df384eb2,"Bryson, Jacob",41.0,39.0,0.8696301465457085,0.0212104913791636,60.0,1.0283410944612847,0.0263677203708021,167.0,0.5081068542234704,0.0230957661010668,277.0,D
fc4b5423-4463-8a2b-f319-30916f7c8928,"Olofsson, Fredrik",48.0,162.0,1.3693230983949758,0.0285275645498953,34.0,1.3509802650000902,0.0300217836666686,129.0,1.1027783177183543,0.022974548285799,278.0,C
ce8efa65-92ac-016a-bc78-8cb03af0c2f4,"Struble, Jayden",15.0,31.0,-0.3113759013724121,-0.0207583934248274,992.0,-0.7787391143890877,-0.043263284132727,1047.0,0.3199586674005983,0.0228541905286141,279.0,D
5ce2531f-d048-1233-61ba-2fc6398d8ec3,"Sgarbossa, Michael",130.0,490.0,1.4752500581530592,0.0113480773704081,150.0,3.505622991286564,0.0269663307022043,156.0,3.0755407347221135,0.0227817832201638,280.0,C
7f38f375-6f8b-a621-c862-3ae701f326c6,"Schueneman, Corey",277.0,391.0,-0.0908094905792036,-0.0003278320959538,542.0,-3.688382812168553,-0.0140242692477891,731.0,3.3466586131672376,0.022460796061525,281.0,D
9d227775-ff40-8878-dbd2-b275f291952a,"Karlstrom, Fredrik",214.0,786.0,1.890532682019075,0.008834264869248,203.0,4.253632933352909,0.0205489513688546,233.0,4.643626090204759,0.0224329762811824,282.0,LW
d9cf213c-8aa3-ec29-2aa1-29c82ed7d5bb,"Raty, Aku",175.0,720.0,2.6923237962316824,0.0153847074070381,95.0,4.921931467133779,0.0279655196996237,145.0,3.852887377643591,0.0224005080095557,283.0,RW
57b5f123-fd08-99e1-9222-cfd4ae909c19,"Loof, Leo",164.0,,0.4249162595952552,0.00259095280241,430.0,-2.7169391345822973,-0.0170876675130962,795.0,0.044280800612441,0.0221404003062205,284.0,D
cf9158fc-30e9-680c-b9e5-b65717e1e000,"Czarnik, Austin",98.0,364.0,-0.6579030006978364,-0.0067132959254881,781.0,2.4903831377641197,0.0262145593448854,168.0,2.0775161487629688,0.0221012356251379,285.0,C
f8513815-ad09-b742-fef8-9814f2313b80,"Steen, Oskar",68.0,249.0,0.70413817166783,0.0103549731127622,166.0,1.2157141506795566,0.0181449873235754,255.0,1.3679330666110738,0.0220634365582431,286.0,RW
91ecbdb7-a405-57e1-23d6-910efcb6de2a,"Butler, Cameron",175.0,643.0,-1.3112805303558963,-0.0074930316020336,798.0,3.1076925872359644,0.0183887135339406,252.0,3.731134945923996,0.0218195026077426,287.0,RW
3e888030-0357-1ee0-55fe-24b435d565ea,"Giles, Patrick",182.0,,0.5633868341474768,0.0030955320557553,414.0,-1.0413935586934018,-0.005817841110019,535.0,0.2387061363248288,0.0217005578477117,288.0,F
69aa4743-6d37-4847-9c9e-f55a0d888150,"Weatherby, Jasper",220.0,837.0,2.43677483135613,0.0110762492334369,152.0,10.386078604417111,0.0501742927749619,35.0,4.481262724874053,0.021339346308924,289.0,F
ad46103a-4d3e-9234-dee6-f970fd779e79,"Blidh, Anton",208.0,711.0,1.9205687369155624,0.0092335035428632,188.0,2.533893263751711,0.0127974407260187,311.0,4.005475050596799,0.0213057183542382,290.0,F
c5c3387a-6e3e-1ae9-824c-315974f6414e,"Berard, Brett",260.0,846.0,-1.098298441498022,-0.0042242247749923,680.0,1.6433387369142882,0.0066263658746543,371.0,4.5959128391759565,0.0211793218395205,291.0,F
4eecd58b-a888-e165-9a1a-0d284825ae25,"Kulich, Jiri",167.0,551.0,-0.741852756454989,-0.0044422320745807,687.0,2.0202616548895245,0.0126266353430595,318.0,3.0215361338842195,0.0211296233138756,292.0,C
ec19bc8b-8413-3a35-3a64-922eeb62d5a7,"Jankowski, Mark",131.0,489.0,1.9835066294487096,0.0151412719805245,99.0,4.910067062845496,0.0409172255237124,64.0,2.7174672202464363,0.0209035940018956,293.0,LW
663df049-a045-0561-16e3-1db633a0723e,"Aston-Reese, Zachary",179.0,595.0,1.5671446848104216,0.0087549982391643,206.0,2.7228315313276545,0.0165020092807736,273.0,3.187988557488857,0.020836526519535,294.0,C
ca8cc0d1-c1a3-322e-5d98-ffa66cded990,"McIlrath, Dylan",188.0,352.0,0.652420330309375,0.0034703209059009,400.0,0.2208117494710816,0.0011745305822929,424.0,2.6257784409576734,0.0205138940699818,295.0,D
05b95071-fc69-bd44-2833-e883e840dcf9,"Fasching, Hudson",15.0,39.0,-0.0720865317515701,-0.004805768783438,700.0,0.0578596121575117,0.0041328294398222,394.0,0.3060439640340725,0.0204029309356048,296.0,RW
c7554bfa-9d55-0c17-9b33-0f223ea3f85a,"Currie, Josh",226.0,726.0,-1.3468143754361472,-0.0059593556435227,755.0,4.079897050448341,0.0187151240846254,246.0,3.95466973965631,0.0203848955652387,297.0,F
b3762305-438c-1b85-1c59-1a831d98849c,"Pekar, Matej",60.0,193.0,0.7116538729937196,0.0118608978832286,139.0,0.7209338014435764,0.0126479614288346,317.0,1.1209084849954014,0.0203801542726436,298.0,F
62266127-46c0-5420-5d10-5a6068de1b5d,"Lockwood, Will",121.0,474.0,0.0065899046289838,5.4462021727139213e-05,523.0,1.5601133704049284,0.0126838485398774,316.0,2.554230186086742,0.0202716681435455,299.0,F
58b0c680-a304-643d-ce76-6451b920519a,"Rau, Kyle",135.0,533.0,1.6714922074901144,0.012381423759186,130.0,4.279497323183731,0.0342359785854698,102.0,2.4581853070469055,0.020149059893827,300.0,F
31afd5bc-827c-9211-5784-f7a96764b140,"Rondbjerg, Jonas",193.0,706.0,1.4081716678297285,0.0072962262581851,258.0,4.74842201314115,0.0258066413757671,176.0,3.424488661087488,0.0201440509475734,301.0,F
4b82112b-52bb-febc-3fbb-b51f3d1a7dd1,"Brind'Amour, Skyler",156.0,617.0,-1.0033042568039074,-0.0064314375436147,770.0,3.772097987020969,0.0248164341251379,186.0,2.99107895218187,0.0198084698819991,302.0,C
2681206b-2285-7d67-cd87-b48f1c66bcdd,"Jordan, Zach",54.0,,0.9404884856943476,0.0174164534387842,78.0,-0.0112687049516288,-0.0002209549990515,447.0,0.1771232024475326,0.0196803558275036,303.0,RW
27be5d93-9bc0-8a87-41dd-e96fea901efc,"Ceulemans, Corson",171.0,,1.942477320307049,0.0113595164930236,149.0,-1.4498904421865368,-0.0089499410011514,602.0,0.1771232024470799,0.0196803558274533,304.0,D
1acdc235-915d-5342-3376-071fbe4ebfb0,"Seppala, Peetro",156.0,,0.050300069783671,0.0003224363447671,511.0,-1.7205150110474188,-0.0113941391460093,657.0,0.1771232024467904,0.0196803558274211,305.0,D
d151950a-074c-744d-f04a-0487129cf9e0,"Berglund, Carl",40.0,,-0.858897418004187,-0.0214724354501046,994.0,-0.8725726292108137,-0.0223736571592516,912.0,0.1771232024447717,0.0196803558271968,306.0,F
618e3d3d-1bfe-2f62-3982-e1dae44b9c4b,"Headrick, Owen",88.0,,-1.0991346824842985,-0.0124901668464124,906.0,-1.5486091279504022,-0.0201118068564987,861.0,0.1771232024422095,0.0196803558269121,307.0,D
4d3e2b74-879a-b997-e31f-715ee7403cb7,"Mersch, Michael",193.0,672.0,-0.5822679692951844,-0.0030169324833947,650.0,4.194900217191071,0.023305001206617,199.0,3.200746322121213,0.0193984625583103,308.0,RW
b18a382f-18a4-2fd8-10e5-fa3a3726fe0d,"Khaira, Jujhar",75.0,319.0,0.2181460804838336,0.0029086144064511,418.0,1.6789962403684695,0.0220920557943219,218.0,1.3551344148007698,0.0190864002084615,309.0,C
