player_id,player_name,position,n_forechecks,total,total_per_forecheck
9b6a5161-1158-73e7-5466-3b7777ed3fdd,"Niemela, Topi",D,266,1.1300244242847182,0.0042482121213711
1da47f43-7819-0b12-6759-4d9cbe68416c,"Stewart, Dean",D,185,1.129951151430566,0.0061078440617868
506ed90c-046c-1355-5f4b-198a95c3b689,"Howe, Travis",RW,71,1.1254570830425683,0.0158515082118671
d5f6e05a-f9e9-1794-4cc2-bfa4c2094f8c,"Joshua, Jagger",LW,189,1.1238415910676909,0.0059462518045909
321ccb94-26f9-bf52-17cf-db4a8b4d324d,"McCartney, Ben",F,109,1.1106548034426615,0.0101894936095657
9f82eb7d-8cd0-8a8d-3c54-a095374fe9f9,"Lucius, Chaz",C,29,1.1094312630844383,0.0382562504511875
2169a8c5-6ecd-6471-78be-1fd91f858e82,"Chibrikov, Nikita",LW,263,1.0980460572226107,0.0041750800654852
be8e81a6-ec2f-39eb-ef48-6264cf6f5d01,"Harkins, Jansen",C,54,1.097645964177716,0.0203267771144021
e25ac5dd-5c9f-292e-3d0d-98f423829cce,"Anisimov, Artem",C,63,1.0972365666434056,0.0174164534387842
08c60c80-c4d5-92b9-4f37-459db0d51fe9,"Caulfield, Judd",RW,222,1.083068155384974,0.0048786853846169
e9563f4f-7930-e1a6-b216-d97b3048803b,"Trivigno, Bobby",LW,122,1.08036287508723,0.0088554334023543
b3585f9c-6b5b-057f-4b5f-0931b9714c57,"Brabenec, Jakub",F,163,1.0772679692951854,0.0066090059465962
ea896038-126c-6362-5259-0d35a0512227,"Harpur, Chris",D,60,1.0723133286810889,0.0178718888113514
06813969-3aca-1417-ec01-0de8fb823a64,"Benson, Tyler",RW,175,1.0684996510816474,0.0061057122918951
e75ad40d-06f3-a0e9-0b73-d4b75b83749f,"Koppanen, Joona",C,252,1.044851128169343,0.0041462346355926
1d2778e0-9709-3b32-491b-3b3f32c7bb09,"Gignac, Brandon",C,160,1.044139334729007,0.0065258708420562
6110cbf6-1606-3431-643c-78b0e035f5ff,"Gawdin, Glenn",F,260,1.0397383112351717,0.0039989935047506
18661cc1-b9d0-2e30-154e-9ae1b75e54e8,"Healey, Josh",D,156,1.032431960921145,0.0066181535956483
0e547df4-db0d-2b34-7e18-2ad196cc9192,"Brown, Patrick",C,128,1.031206094440568,0.0080562976128169
8d917b0c-c645-4b0b-0007-8d9684345c63,"Svejkovsky, Lukas",RW,64,1.025764131193301,0.0160275645498953
5ed92cf2-bc71-8b27-ceef-13805029dcbc,"Lapierre, Hendrix",C,46,1.0217771574784835,0.0222125469017061
f3da2b72-e9b7-6d05-ee3e-834953f9f070,"Marody, Cooper",RW,202,1.0196743428704356,0.0050478927864873
