player_id,player_name,position,n_press,total,total_per_press
befd7372-8a19-ca5a-c1db-88c82ad4500b,"Criscuolo, Kyle",C,235,5.4834127202054015,0.02333367114981022
9bfe9ddc-4b06-ca9d-ed9a-9fbda2f10d8b,"Kero, Tanner",C,199,5.450501521928221,0.02738945488406141
e14d8b1e-280b-fcd3-8676-f0ec14a86d80,"Hirvonen, Roni",C,124,5.391089487826802,0.0434765281276355
57416be2-68df-99d1-ada5-d3b6d3ef77b0,"Lavoie, Raphael",F,197,5.341015860705485,0.02711175563809891
cfe456f6-9907-e4df-333f-27b358f49ebc,"Rybinski, Henry",C,129,5.329581853926372,0.04131458801493312
79b63b9f-49dc-162b-951e-053b32088ce5,"Smallman, Spencer",C,140,5.2966829578280725,0.03783344969877195
001f8fd1-bc74-2cc8-3e59-09a02532c938,"Nesterenko, Nikita",C,212,5.268826139716062,0.024852953489226705
a642a014-b17e-3674-5214-a0c41b7836ba,"Mayhew, Gerald",C,226,5.262622092727259,0.023285938463394953
650eabdc-aab3-679a-03a2-d086646b86b9,"Pare, Cedric",F,166,5.260724192504357,0.03169110959339974
9ef6d4ec-63a9-9da3-2580-cc0bfca09b47,"Malone, Brad",C,169,5.24057332855794,0.031009309636437516
c4ebf006-49c8-4653-9f36-08b55190b8b2,"Dufour, William",F,186,5.207060499650518,0.027994948922852245
bc2abfcb-4444-082a-2f24-73a1a10338f5,"Biro, Brandon",F,174,5.206845048603252,0.02992439683105317
3f1cb8fd-1aa5-5b5c-a0f1-d8dbb7756d87,"Durandeau, Arnaud",LW,174,5.202934431054536,0.029901922017554806
71bee4d1-8889-3ec6-e934-ef86eca81be9,"Walcott, Daniel",LW,167,5.197918405972025,0.031125259916000153
2f46ba90-e46e-6371-ac00-07be713995a2,"Sasson, Max",C,247,5.151618695108584,0.02085675585064204
0197019c-0e19-f14e-cdab-ce4bb3630856,"Laferriere, Mathias",RW,204,5.05493153561217,0.024779076154961617
ef6ffa30-eb7b-716c-b66b-d0db438b2268,"Strome, Matthew",RW,188,5.053518994565841,0.026880420183860856
e0cea5f8-086b-dec5-d799-9f09a23f8d52,"Gambrell, Dylan",C,216,4.991481704028569,0.023108711592724856
f01b2f76-df10-daf6-f8e2-f2a3968f6d64,"Dalpe, Zac",C,170,4.954827835935549,0.029146046093738526
e8fea67a-8042-8fda-08b4-f058368fe357,"Bolduc, Zachary",RW,144,4.943966777908651,0.03433310262436563
a0c15a5d-c635-d29e-06a4-421921529350,"Dunne, Josh",C,94,4.924436559158003,0.052387622969765985
d9cf213c-8aa3-ec29-2aa1-29c82ed7d5bb,"Raty, Aku",RW,176,4.921931467133779,0.027965519699623742
ec19bc8b-8413-3a35-3a64-922eeb62d5a7,"Jankowski, Mark",LW,120,4.910067062845496,0.040917225523712464
88e216a2-1386-7181-fda4-1819e8611ca5,"Wise, Jake",F,136,4.857095844396657,0.03571394003232836
f3da2b72-e9b7-6d05-ee3e-834953f9f070,"Marody, Cooper",RW,190,4.826450821128735,0.025402372742782817
0ca4f9ef-7e7a-d691-6e1c-16d394e84bfe,"Baddock, Brandon",LW,175,4.817009678587872,0.027525769591930697
31afd5bc-827c-9211-5784-f7a96764b140,"Rondbjerg, Jonas",F,184,4.74842201314115,0.02580664137576712
a0555634-4279-dde8-209b-5fb7664923b9,"Wilson, Garrett",LW,211,4.69312021914403,0.022242275920113887
95faf17f-eeab-555e-2e51-7af990402dc6,"Samoskevich, Mackie",RW,201,4.657767372907744,0.023172972004516137
f4381702-541d-bbce-d4ad-9ada397f80ec,"Cracknell, Adam",F,229,4.651659996165868,0.020312925747449202
60a256f4-156e-1e04-ed00-29e7b5fc2243,"Bourque, Gabriel",LW,163,4.601555886087197,0.028230404209123906
d7535706-ab13-a4e2-1b01-b80ac5ff0720,"Andonovski, Corey",RW,169,4.5604751941365835,0.026985060320334812
499a866c-4e2f-75cc-4453-3765b766e0f0,"Thomas, Akil",F,193,4.551506775668207,0.0235829366614933
5e597523-3951-4de6-6d47-6d3fe982366b,"Schneider, Cole",F,141,4.538164686776639,0.03218556515444425
9a673947-843b-c6fd-0b7e-35c0d46cf23f,"Sokolov, Yegor",F,231,4.521815309292032,0.019574958048883255
